Symbol,Timeframe,Strategy,Wins,Losses,Neither,Consecutive SL,Final Balance,Win Rate
Drift Switch Index 30,M5,AMSstrategy,8,17,3,4,11150,32.0
Drift Switch Index 30,M5,AMSstrategy,8,17,3,4,11150,32.0
