Occurrence,Entry,Stop_Loss,Take_Profit,Result,Balance
2026-05-01 06:55:00,95038.62,95055.66,94936.37999999995,SL,975.0
2026-05-01 09:50:00,94795.756,94910.2855,94108.57899999997,SL,950.0
2026-05-01 10:35:00,94502.909,94499.223,94525.02500000001,SL,925.0
2026-05-01 12:00:00,94838.7,94985.12349999999,93960.15900000006,SL,900.0
2026-05-01 13:30:00,94467.913,94363.8925,95092.036,SL,875.0
2026-05-01 14:35:00,94857.571,94938.94399999999,94369.33300000004,SL,850.0
2026-05-01 17:25:00,94625.303,94800.7035,93572.89999999998,SL,825.0
2026-05-01 18:00:00,94477.927,94380.4155,95062.99599999996,SL,800.0
2026-05-01 19:15:00,94867.063,94940.75099999999,94424.93500000003,SL,775.0
2026-05-01 20:50:00,94850.597,94863.58299999998,94772.68100000006,SL,750.0
2026-05-01 22:30:00,94618.089,94724.217,93981.32100000003,SL,725.0
2026-05-01 23:10:00,94655.41,94709.65900000001,94329.91599999994,SL,700.0
2026-05-02 00:30:00,94492.481,94413.50099999999,94966.36100000006,SL,675.0
2026-05-02 02:55:00,95373.361,95375.8455,95358.45400000006,SL,650.0
2026-05-02 05:30:00,95590.931,95795.3245,94364.56999999996,TP,775.0
2026-05-02 06:35:00,95521.461,95634.77299999999,94841.58900000005,TP,900.0
2026-05-02 08:50:00,95049.96,95012.41500000001,95275.23,SL,875.0
2026-05-02 09:30:00,95211.43,95053.016,96161.91399999993,SL,850.0
2026-05-02 10:45:00,95526.159,95606.894,95041.749,TP,975.0
2026-05-02 12:40:00,95197.514,95436.1795,93765.52099999998,SL,950.0
2026-05-02 13:40:00,94922.798,94848.45499999999,95368.85600000004,SL,925.0
2026-05-02 14:25:00,95111.679,95249.03700000001,94287.53099999996,SL,900.0
2026-05-02 14:45:00,94953.695,94859.25450000001,95520.33799999999,SL,875.0
2026-05-02 15:10:00,95167.473,95246.465,94693.52100000001,SL,850.0
2026-05-02 15:55:00,95184.721,95285.5145,94579.96,SL,825.0
2026-05-02 17:40:00,95248.572,95380.6495,94456.107,SL,800.0
