Symbol,Timeframe,Strategy,Wins,Losses,Neither,Consecutive SL,Final Balance,Win Rate
EURNOK,M5,AMSstrategy,41,61,5,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
EURNOK,M5,AMSstrategy,41,61,0,8,13100,40.19607843137255
