time,open,high,low,close,tick_volume,spread,real_volume
2023-07-28 00:00:00,1.4522,1.45263,1.45218,1.45241,1611,4,0
2023-07-28 00:30:00,1.45239,1.45305,1.45232,1.45298,1622,2,0
2023-07-28 01:00:00,1.45297,1.45298,1.45193,1.45232,1796,2,0
2023-07-28 01:30:00,1.45232,1.45271,1.45221,1.45264,2462,3,0
2023-07-28 02:00:00,1.45264,1.45293,1.45237,1.45291,1745,2,0
2023-07-28 02:30:00,1.45291,1.4531399999999999,1.4525000000000001,1.4525299999999999,1463,4,0
2023-07-28 03:00:00,1.4525299999999999,1.45303,1.4513099999999999,1.45255,1808,0,0
2023-07-28 03:30:00,1.45255,1.45305,1.45172,1.45242,4864,1,0
2023-07-28 04:00:00,1.45242,1.45342,1.45164,1.4519,4113,0,0
2023-07-28 04:30:00,1.45196,1.4530699999999999,1.45169,1.4528400000000001,2595,3,0
2023-07-28 05:00:00,1.4528400000000001,1.45297,1.45129,1.45137,2442,2,0
2023-07-28 05:30:00,1.45136,1.45271,1.44848,1.45218,3406,0,0
2023-07-28 06:00:00,1.4521600000000001,1.45292,1.45141,1.45252,2849,3,0
2023-07-28 06:30:00,1.45252,1.45386,1.45157,1.45187,3449,0,0
2023-07-28 07:00:00,1.45186,1.45374,1.45035,1.45064,4066,0,0
2023-07-28 07:30:00,1.45064,1.4515,1.4497,1.4505,3288,0,0
2023-07-28 08:00:00,1.4506000000000001,1.45117,1.4494799999999999,1.45065,3102,0,0
2023-07-28 08:30:00,1.45064,1.45166,1.45054,1.45112,2203,2,0
2023-07-28 09:00:00,1.45111,1.45139,1.45032,1.45048,2190,2,0
2023-07-28 09:30:00,1.45048,1.45139,1.45016,1.45106,2298,0,0
2023-07-28 10:00:00,1.45106,1.45324,1.45079,1.45296,1958,2,0
2023-07-28 10:30:00,1.45296,1.45491,1.45263,1.45466,1878,0,0
2023-07-28 11:00:00,1.45466,1.45606,1.45449,1.45596,2544,0,0
2023-07-28 11:30:00,1.456,1.45604,1.45458,1.45482,2202,1,0
2023-07-28 12:00:00,1.4548,1.45613,1.45469,1.4554,2881,0,0
2023-07-28 12:30:00,1.45537,1.45659,1.45418,1.45512,4785,0,0
2023-07-28 13:00:00,1.45511,1.45578,1.45445,1.4549,3842,2,0
2023-07-28 13:30:00,1.45488,1.45796,1.45428,1.4577,4796,1,0
2023-07-28 14:00:00,1.45773,1.46082,1.45747,1.45967,4819,0,0
2023-07-28 14:30:00,1.45967,1.4618,1.45961,1.46036,3674,2,0
2023-07-28 15:00:00,1.46036,1.46049,1.45848,1.45898,3212,2,0
2023-07-28 15:30:00,1.45898,1.4601,1.45856,1.46003,2838,2,0
2023-07-28 16:00:00,1.46003,1.46064,1.45923,1.45925,2607,0,0
2023-07-28 16:30:00,1.45925,1.46004,1.45864,1.4586999999999999,2256,2,0
2023-07-28 17:00:00,1.4586999999999999,1.45935,1.45839,1.45876,2387,0,0
2023-07-28 17:30:00,1.45876,1.45979,1.45876,1.45923,2469,2,0
2023-07-28 18:00:00,1.4592100000000001,1.45962,1.45878,1.45901,2009,3,0
2023-07-28 18:30:00,1.45901,1.45971,1.45884,1.45945,1700,2,0
2023-07-28 19:00:00,1.45945,1.45976,1.4586000000000001,1.4588,1991,3,0
2023-07-28 19:30:00,1.4588,1.45938,1.45841,1.45888,1726,1,0
2023-07-28 20:00:00,1.45886,1.45899,1.4583,1.45881,751,4,0
