time,Open,High,Low,Close,Volume,spread,Volume
2025-10-26 21:00:00,1.33188,1.33199,1.33164,1.33199,22,81,0
2025-10-26 21:15:00,1.33199,1.3324099999999999,1.33199,1.33235,106,44,0
2025-10-26 21:30:00,1.3324,1.3324099999999999,1.33195,1.33201,145,44,0
2025-10-26 21:45:00,1.33202,1.3321399999999999,1.33179,1.33191,234,43,0
2025-10-26 22:00:00,1.33179,1.33223,1.33164,1.3319,969,5,0
2025-10-26 22:15:00,1.33189,1.3324500000000001,1.33179,1.3320400000000001,494,5,0
2025-10-26 22:30:00,1.33206,1.3327499999999999,1.33189,1.33243,1313,5,0
2025-10-26 22:45:00,1.33244,1.33262,1.33224,1.33228,737,5,0
2025-10-26 23:00:00,1.33227,1.33237,1.33182,1.33199,856,5,0
2025-10-26 23:15:00,1.33199,1.33226,1.33193,1.33223,754,5,0
2025-10-26 23:30:00,1.33223,1.3324799999999999,1.33215,1.3322,630,5,0
2025-10-26 23:45:00,1.3322,1.33228,1.33189,1.33216,470,5,0
2025-10-27 00:00:00,1.33215,1.3324799999999999,1.33174,1.33176,1176,5,0
2025-10-27 00:15:00,1.33176,1.3322,1.33176,1.33215,565,5,0
2025-10-27 00:30:00,1.33215,1.33263,1.3321399999999999,1.3324099999999999,1579,5,0
2025-10-27 00:45:00,1.3324,1.3328,1.33225,1.33236,1026,5,0
2025-10-27 01:00:00,1.33237,1.33334,1.33215,1.33305,1045,5,0
2025-10-27 01:15:00,1.3330600000000001,1.33355,1.33303,1.33346,1023,5,0
2025-10-27 01:30:00,1.33346,1.33348,1.33285,1.33303,791,5,0
2025-10-27 01:45:00,1.33304,1.3331,1.33262,1.3327499999999999,837,5,0
2025-10-27 02:00:00,1.3327499999999999,1.3328,1.3321,1.33217,620,4,0
2025-10-27 02:15:00,1.33216,1.33236,1.33216,1.33225,480,5,0
2025-10-27 02:30:00,1.33228,1.3323,1.3321,1.33216,380,5,0
2025-10-27 02:45:00,1.33216,1.33237,1.33212,1.33231,462,5,0
2025-10-27 03:00:00,1.33232,1.33259,1.33224,1.33255,679,5,0
2025-10-27 03:15:00,1.33255,1.3326500000000001,1.3323800000000001,1.33246,523,5,0
2025-10-27 03:30:00,1.33246,1.33251,1.33223,1.33223,422,5,0
2025-10-27 03:45:00,1.33223,1.33237,1.33197,1.33216,486,5,0
2025-10-27 04:00:00,1.33215,1.3322,1.3315299999999999,1.33158,640,5,0
2025-10-27 04:15:00,1.33158,1.33168,1.33145,1.33154,331,5,0
2025-10-27 04:30:00,1.3315299999999999,1.33163,1.33127,1.33151,344,5,0
2025-10-27 04:45:00,1.3315000000000001,1.33159,1.33134,1.33159,333,5,0
2025-10-27 05:00:00,1.33159,1.33172,1.33131,1.33139,376,5,0
2025-10-27 05:15:00,1.33139,1.33171,1.33124,1.33171,370,5,0
2025-10-27 05:30:00,1.33171,1.3322,1.3317,1.33188,464,5,0
2025-10-27 05:45:00,1.33188,1.33205,1.33179,1.33202,525,5,0
2025-10-27 06:00:00,1.33202,1.33293,1.33202,1.33263,939,3,0
2025-10-27 06:15:00,1.33263,1.33295,1.3324500000000001,1.33276,811,3,0
2025-10-27 06:30:00,1.33276,1.33345,1.33255,1.33287,511,3,0
2025-10-27 06:45:00,1.33287,1.33298,1.3321100000000001,1.33235,390,3,0
2025-10-27 07:00:00,1.33235,1.33258,1.3316,1.33172,1118,3,0
2025-10-27 07:15:00,1.33172,1.33174,1.33101,1.33115,931,3,0
2025-10-27 07:30:00,1.33114,1.33194,1.33114,1.3317700000000001,837,3,0
2025-10-27 07:45:00,1.3317700000000001,1.33192,1.33147,1.33156,957,3,0
2025-10-27 08:00:00,1.33155,1.33161,1.33106,1.33161,1218,3,0
2025-10-27 08:15:00,1.33161,1.33222,1.33151,1.33203,1270,3,0
2025-10-27 08:30:00,1.33203,1.3332899999999999,1.33193,1.3330199999999999,1287,3,0
2025-10-27 08:45:00,1.33303,1.3334,1.3324,1.3326500000000001,1416,3,0
2025-10-27 09:00:00,1.33267,1.333,1.3323,1.33284,1110,3,0
2025-10-27 09:15:00,1.33284,1.33377,1.33266,1.33313,1075,3,0
2025-10-27 09:30:00,1.33313,1.33417,1.3330899999999999,1.33416,927,3,0
2025-10-27 09:45:00,1.33417,1.33468,1.33395,1.3345099999999999,1136,3,0
2025-10-27 10:00:00,1.3345099999999999,1.33481,1.3342100000000001,1.33481,776,3,0
2025-10-27 10:15:00,1.3348,1.3351,1.33434,1.33441,967,3,0
