time,Open,High,Low,Close,Volume,spread,Volume
2026-04-30 23:00:00,1.17312,1.17331,1.17312,1.17318,193,2,0
2026-04-30 23:10:00,1.17318,1.17324,1.17312,1.17322,218,2,0
2026-04-30 23:20:00,1.17322,1.17327,1.17318,1.17318,112,2,0
2026-04-30 23:30:00,1.17318,1.17326,1.17312,1.17312,132,2,0
2026-04-30 23:40:00,1.17312,1.17316,1.17292,1.17299,238,2,0
2026-04-30 23:50:00,1.17299,1.17307,1.17282,1.17286,256,2,0
2026-05-01 00:00:00,1.17286,1.17297,1.17278,1.17288,522,2,0
2026-05-01 00:10:00,1.17288,1.17295,1.1724,1.17258,483,2,0
2026-05-01 00:20:00,1.17258,1.1727400000000001,1.17256,1.17271,216,2,0
2026-05-01 00:30:00,1.17271,1.17288,1.17263,1.17281,296,2,0
2026-05-01 00:40:00,1.17281,1.17294,1.17275,1.17278,261,2,0
2026-05-01 00:50:00,1.17278,1.17294,1.17269,1.17275,385,2,0
2026-05-01 01:00:00,1.17275,1.17278,1.1724999999999999,1.17264,268,2,0
2026-05-01 01:10:00,1.17264,1.17285,1.17254,1.17254,184,2,0
2026-05-01 01:20:00,1.17254,1.17302,1.17254,1.17289,166,2,0
2026-05-01 01:30:00,1.17289,1.17328,1.17289,1.17309,277,2,0
2026-05-01 01:40:00,1.17309,1.17314,1.17303,1.17304,304,2,0
2026-05-01 01:50:00,1.17304,1.17318,1.17303,1.17309,296,2,0
2026-05-01 02:00:00,1.17309,1.17325,1.17303,1.17318,217,2,0
2026-05-01 02:10:00,1.17318,1.17339,1.17318,1.17329,185,2,0
2026-05-01 02:20:00,1.17329,1.1733500000000001,1.17317,1.17327,182,2,0
2026-05-01 02:30:00,1.17327,1.17338,1.1732,1.17333,138,2,0
2026-05-01 02:40:00,1.17333,1.1733500000000001,1.17304,1.17307,256,2,0
2026-05-01 02:50:00,1.17307,1.17339,1.17294,1.17336,233,2,0
2026-05-01 03:00:00,1.17336,1.1734499999999999,1.17324,1.17333,220,2,0
2026-05-01 03:10:00,1.17333,1.1735,1.17331,1.1734499999999999,150,2,0
2026-05-01 03:20:00,1.1734499999999999,1.17362,1.1734499999999999,1.17356,145,2,0
2026-05-01 03:30:00,1.17356,1.17363,1.17338,1.1735,208,2,0
2026-05-01 03:40:00,1.1735,1.1735,1.17314,1.17316,268,2,0
