time,open,high,low,close,tick_volume,spread,real_volume
2024-01-01 00:00:00,9063.94,9066.77,9063.94,9065.89,288,21,0
2024-01-01 00:05:00,9065.8,9067.19,9064.83,9065.48,292,21,0
2024-01-01 00:10:00,9065.51,9067.44,9065.15,9065.34,293,21,0
2024-01-01 00:15:00,9065.44,9069.89,9065.44,9069.38,296,21,0
2024-01-01 00:20:00,9069.54,9069.62,9063.24,9063.67,291,21,0
2024-01-01 00:25:00,9063.72,9064.2,9061.39,9061.7,294,21,0
2024-01-01 00:30:00,9061.25,9064.79,9060.28,9061.8,294,21,0
2024-01-01 00:35:00,9061.74,9062.68,9053.46,9054.07,293,21,0
2024-01-01 00:40:00,9054.11,9058.53,9053.77,9056.97,298,21,0
2024-01-01 00:45:00,9057.02,9057.4,9054.77,9057.07,293,21,0
2024-01-01 00:50:00,9056.95,9066.19,9056.42,9066.19,287,21,0
2024-01-01 00:55:00,9066.16,9066.79,9063.02,9063.93,294,21,0
2024-01-01 01:00:00,9064.07,9067.41,9062.88,9064.7,295,21,0
2024-01-01 01:05:00,9064.82,9067.71,9064.25,9066.05,293,21,0
2024-01-01 01:10:00,9065.83,9066.34,9060.4,9062.01,293,21,0
2024-01-01 01:15:00,9061.72,9062.65,9055.79,9056.16,292,21,0
2024-01-01 01:20:00,9056.12,9057.4,9053.78,9054.68,293,21,0
2024-01-01 01:25:00,9054.72,9056.66,9053.73,9053.73,292,21,0
2024-01-01 01:30:00,9053.61,9056.45,9053.13,9054.81,291,21,0
2024-01-01 01:35:00,9054.91,9055.7,9053.02,9053.08,291,21,0
2024-01-01 01:40:00,9052.82,9055.97,9050.03,9053.47,291,21,0
2024-01-01 01:45:00,9053.43,9054.91,9050.53,9054.91,292,21,0
2024-01-01 01:50:00,9054.84,9059.95,9054.33,9056.98,296,21,0
2024-01-01 01:55:00,9056.98,9057.2,9052.12,9053.5,295,21,0
2024-01-01 02:00:00,9053.61,9058.11,9052.81,9057.97,289,21,0
2024-01-01 02:05:00,9057.85,9058.28,9053.62,9053.99,288,21,0
2024-01-01 02:10:00,9054.11,9055.29,9052.53,9055.11,289,21,0
2024-01-01 02:15:00,9055.14,9056.1,9052.79,9055.55,291,21,0
2024-01-01 02:20:00,9055.57,9057.09,9052.23,9053.87,296,21,0
2024-01-01 02:25:00,9054.14,9056.8,9053.91,9054.03,293,21,0
2024-01-01 02:30:00,9053.8,9056.45,9052.51,9056.45,287,21,0
2024-01-01 02:35:00,9056.39,9060.65,9055.68,9060.63,292,21,0
2024-01-01 02:40:00,9060.58,9064.4,9058.63,9064.22,293,21,0
2024-01-01 02:45:00,9064.24,9065.83,9060.18,9065.83,289,21,0
2024-01-01 02:50:00,9065.89,9066.55,9061.22,9062.94,289,21,0
2024-01-01 02:55:00,9063.07,9071.23,9063.01,9071.17,290,21,0
2024-01-01 03:00:00,9071.32,9075.38,9071.31,9074.1,294,21,0
2024-01-01 03:05:00,9073.99,9076.27,9072.53,9073.82,290,21,0
2024-01-01 03:10:00,9073.64,9075.87,9070.93,9074.25,297,21,0
2024-01-01 03:15:00,9074.48,9077.23,9073.93,9074.61,298,21,0
2024-01-01 03:20:00,9074.69,9076.83,9073.63,9075.9,294,21,0
2024-01-01 03:25:00,9075.99,9080.56,9075.59,9079.49,295,21,0
2024-01-01 03:30:00,9079.44,9082.97,9078.94,9079.49,294,21,0
2024-01-01 03:35:00,9079.73,9080.49,9076.32,9077.66,293,21,0
